caseID,cgIn,iyKgm2,clDeltaE,actuatorTau_s,isStable,fastModeWn,fastModeZeta,phaseMargin_deg,gainMargin_dB,gainCrossover_radps,innerNonPhugoidFrequency,bandwidthSeparationRatio,overshoot_pct,riseTime_s,settlingTime_s,peakPitchRate_degps,peakActuator_deg,peakActuatorRate_degps,peakUnsaturatedDemand_deg,peakSpeedPerturbationFraction,peakAlphaPerturbation_deg,finalAttitudeError_deg,maximumAttitudeDifferenceFromIdeal_deg
58,44.15,2300,0.427,0.02,1,5.78205911515341,0.705933438960678,55.1740493185333,29.5594090464168,1.17064705403055,5.58545815826599,4.77125717699046,0,2.79,22.83,0.350241774080522,0.439178315220669,0.203795059078249,0.439218670630581,0.0663377862973899,0.589781751365403,0.00466125402932176,0.00524084676398581
59,44.15,2300,0.427,0.035,1,5.90595319432476,0.700941163074838,54.3881215925129,25.3052572256582,1.16991044135242,5.78298749671383,4.94310273017882,0,2.78,22.82,0.352457938317241,0.439179861513425,0.195717876246197,0.439250483236334,0.0663380260883162,0.589783845525357,0.00465849933903953,0.00697339581076272
60,44.15,2300,0.427,0.05,1,6.04687730102578,0.691258207950408,53.6005059229116,22.8093375673038,1.16901642632127,6.08878345013334,5.20846697534771,0,2.76,22.81,0.35470459024206,0.439181407874487,0.189567994004687,0.43928229570088,0.066338265890273,0.589785939778753,0.00465574451642575,0.00895228521074988
61,44.15,2300,0.5,0.02,1,5.77944173508416,0.706472770580863,55.1920374472656,29.5978489462549,1.16477953928388,5.57914589131708,4.78987284988469,0,2.8,23.05,0.349366818388936,0.442910989930874,0.203831820195238,0.442951558637333,0.0662008110235474,0.594794999167891,0.0046863020088525,0.005228260381566
62,44.15,2300,0.5,0.035,1,5.90340479957772,0.701554957566478,54.4080503212356,25.3444663212012,1.16404433725606,5.77638755781705,4.96234324839674,0,2.79,23.04,0.351570537671792,0.442912566670539,0.195764986577182,0.442983561649785,0.066201052959011,0.59479713441599,0.00468352565541,0.00696345835042518
63,44.15,2300,0.5,0.05,1,6.04462535326705,0.691964301620771,53.6223821048999,22.8493406360259,1.16315360842077,6.08218869068126,5.22905027044463,0,2.76,23.03,0.353806326209228,0.442914143480817,0.189627374548976,0.44301556451252,0.0662012949057545,0.594799269760676,0.00468074916737676,0.0089415368601191
64,44.15,2800,0.3,0.02,1,5.17343811738477,0.667140930187013,53.8737585347509,29.1271172435609,1.18274651863025,5.03830712037111,4.25983677906407,0,2.76,22.45,0.356185594785828,0.432831323334878,0.206968263062608,0.432871310896933,0.0665705158715023,0.581257401824714,0.00461808015448564,0.00535873091706015
65,44.15,2800,0.3,0.035,1,5.24895550429676,0.661064465836156,53.0870554326141,24.8267387174612,1.18209146870048,5.16791788379955,4.37184263708531,0,2.73,22.44,0.358488006913569,0.432832818741063,0.199615883647412,0.432902796750778,0.066570752016845,0.581259427262573,0.00461536238166115,0.00716648587634068
66,44.15,2800,0.3,0.05,1,5.32831043978919,0.651888540235262,52.2985686092768,22.2848338100983,1.18127382335537,5.3418002263869,4.52206772110948,0,2.71,22.43,0.360823613963808,0.432834314212133,0.193979365330769,0.432934282477619,0.066570988172853,0.58126145278918,0.00461264448038202,0.00929856168373808
67,44.15,2800,0.427,0.02,1,5.1697964572501,0.66815617048503,53.9102900996729,29.2053907319295,1.17253652708841,5.02850767222501,4.28857230120718,0,2.76,22.83,0.354611048592825,0.439178198331513,0.207022095406863,0.439218553831357,0.066337779571288,0.589781684943268,0.00466126440879201,0.00533691770345129
