caseID,caseCG_in,caseIy_kgm2,caseCLdeltaE,caseTau_s,isStable,verticalSpeedPhaseMargin_deg,altitudePhaseMargin_deg,verticalSpeedCrossover_radps,altitudeCrossover_radps,bandwidthSeparationRatio,smallOvershoot_pct,smallRiseTime_s,smallSettlingTime_s,smallFinalError_ft,smallPeakPitchCommand_deg,smallPeakVerticalSpeed_fpm,smallPeakElevator_deg,smallPeakActuatorRate_degps,smallPeakSpeedFraction,smallPeakAlpha_deg,operationalOvershoot_pct,operationalRiseTime_s,operationalSettlingTime_s,operationalFinalError_ft,operationalPeakPitchCommand_deg,operationalPeakPitch_deg,operationalPeakVerticalSpeed_fpm,operationalPeakElevator_deg,operationalPeakActuatorRate_degps,operationalPeakSpeedFraction,operationalPeakAlpha_deg,verticalSpeedLimitActive,pitchCommandLimitActive,elevatorPositionLimitActive,elevatorRateLimitActive
31,41,2800,0.427,0.02,1,101.384332111032,71.0680446016634,0.578898628584245,0.322164091587293,3.21975723885162,0,14.82,56.1,0.0404487668491298,0.58986907169184,86.6184275509967,0.100455383993171,0.0589119936075354,0.00743262673971987,0.0837357775959959,0,39.44,75.32,0.500733342401783,1.74453979080957,1.11404746920635,200.921125332586,0.590368499946763,0.286679471618422,0.0647986685030302,0.594420116671167,1,0,0,0
32,41,2800,0.427,0.035,1,100.015308611244,71.0782014536266,0.58741942849271,0.322170150057894,3.21799642843883,0,14.82,59.76,0.0404490772200889,0.591013853707924,86.9414836408508,0.101131134252723,0.0598600150995378,0.00744146659302005,0.0842907179373428,0,39.44,75.3,0.500740013174413,1.74479150299762,1.11753755121688,201.745286661509,0.591368797072011,0.287627191688531,0.064802062753479,0.59524015564167,1,0,0,0
33,41,2800,0.427,0.05,1,98.5850427658621,71.0883614591531,0.596250388938684,0.322176197134688,3.21588287427139,0,14.82,60.08,0.040449379883954,0.592183909345016,87.2735270428962,0.101817055472202,0.0608337389928284,0.007450863461131,0.0848577340773783,0,39.46,75.26,0.500746480306218,1.74499501794347,1.12241681418659,202.596240407336,0.592405467316211,0.288003964939807,0.0648055000046058,0.596091320977743,1,0,0,0
34,41,2800,0.5,0.02,1,99.9187535128752,71.0013954469458,0.584175285291608,0.322421664171197,3.19531712007582,0,14.92,61.32,0.0427394136564448,0.592466362781282,86.918666748153,0.101950374862935,0.0597210741981984,0.00745469931450655,0.0852754363251421,0,39.66,76.34,0.527425305078318,1.7448295257899,1.11934362372739,201.124241850224,0.601294613807822,0.28728113627985,0.0650178493041226,0.605492435585992,1,0,0,0
35,41,2800,0.5,0.035,1,98.5572435942255,71.0117361470863,0.592521724860872,0.322427915053253,3.19356990858081,0,14.92,61.32,0.0427398050299488,0.593624038404811,87.2452985308439,0.10263185895613,0.0606782122578924,0.00746391544881815,0.085840534462112,0,39.66,76.28,0.527434373671497,1.7450623808392,1.11997743882071,201.950272302489,0.602308197660506,0.288170660920743,0.0650212494529868,0.606327540098867,1,0,0,0
36,41,2800,0.5,0.05,1,97.1389145308888,71.0220801462682,0.601148272838284,0.322434154191478,3.19147635506778,0,14.94,61.3,0.042740302125705,0.594806460578845,87.5809119257398,0.103327282748976,0.0616627480822137,0.00747371729791571,0.0864142442674833,0,39.66,76.22,0.527445543667833,1.74524826670035,1.12485958367808,202.801653988276,0.60336058061055,0.288546180387676,0.0650246924937558,0.60719233817985,1,0,0,0
37,44.15,1800,0.3,0.02,1,130.959640126772,71.3763690446835,0.402268676898622,0.31975750636274,3.68522753357407,0,14.04,53.42,0.0353010432184154,0.566698275337615,82.8561226007878,0.0781788090865311,0.0461430187198799,0.00735565519274611,0.0789846078120973,0,38.74,68.54,0.439898034276279,1.74283332015558,1.10240595640405,196.297063491577,0.424958394533291,0.257502944275677,0.0642745818650461,0.561861391690458,1,0,0,0
38,44.15,1800,0.3,0.035,1,130.765217401603,71.3844887424239,0.403947988089217,0.319761984473145,3.68261864985142,0,14.04,53.4,0.0353012091637977,0.567633257727084,83.1087635914188,0.0786828376207998,0.0468546949637099,0.00735972813653212,0.0794824035265253,0,38.76,68.48,0.439900979006991,1.74320677397706,1.10244511457976,197.028074348118,0.425587393372652,0.258995873025349,0.0642774466067284,0.562494069506063,1,0,0,0
39,44.15,1800,0.3,0.05,1,130.562306741766,71.3926063976452,0.405697014199948,0.319766509952446,3.67951331518061,0,14.04,53.36,0.0353013751224239,0.568592722909159,83.3692829761749,0.0791956657279703,0.04758762285064,0.00736402333306036,0.0799893500087097,0,38.76,68.4,0.439903921462101,1.74352437197768,1.10248428944268,197.789294529673,0.426244635735746,0.259021434177184,0.0642803541013949,0.563152254577763,1,0,0,0
40,44.15,1800,0.427,0.02,1,129.761503072447,71.2932888804678,0.409022115473418,0.320029840086636,3.65062799543234,0,14.12,55.9,0.0378019493643215,0.570024844680349,83.2565998752849,0.0797135700819342,0.0470359499604204,0.00737749151348867,0.081034981398354,0,39,72.58,0.469265308609012,1.74330548533318,1.10883942419288,196.646844551592,0.43511286187999,0.258368855190159,0.0645383803039067,0.575276010551193,1,0,0,0
