delayPlantCaseID,delayAileronTau_s,sensorDelay_s,delayDiskMargin,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
11,0.05,0.06,1.36760109016359,68.7286834835344,14.5265905767463,10.6659612123026
11,0.05,0.08,1.29680856158858,65.9190958837588,13.4204030986511,9.6382902362397
11,0.075,0,1.59466195309733,77.1328811371398,18.9568136890499,0.529663443891658
11,0.075,0.01,1.57143538306943,76.3146944820407,18.4165296984156,11.2719745617551
11,0.075,0.02,1.52208148369364,74.5452260575773,17.3489108438628,10.7646521362983
11,0.075,0.04,1.43297618898874,71.242294205203,15.6413898918963,9.72747223776965
11,0.075,0.06,1.35461027352229,68.219973960588,14.3164004958382,8.79022516830884
11,0.075,0.08,1.2847389851007,65.4309037032439,13.240726207506,8.01678063387679
12,0.035,0,1.61762225716556,77.93263493621,19.518612234665,0.487528490103386
12,0.035,0.01,1.61260279484065,77.7585620244098,19.3932746071827,17.0608238900312
12,0.035,0.02,1.55322156077908,75.6665973054385,18.0106016419618,15.8489319246111
12,0.035,0.04,1.45021647759935,71.8923532731744,15.9530925103547,13.8038426460289
12,0.035,0.06,1.36384332922593,68.581848621385,14.4654334957144,12.1338885046498
12,0.035,0.08,1.28995217808904,65.6420971417808,13.3180397129514,10.7646521362983
12,0.05,0,1.61215829082323,77.7431262135891,19.3822452305231,0.496592321450336
12,0.05,0.01,1.58755453626728,76.8834944352228,18.7886396066698,14.3218789927354
12,0.05,0.02,1.53215308195279,74.9097570060013,17.558714890946,13.4276496113786
12,0.05,0.04,1.43440863780146,71.2965084735033,15.6669839906361,11.9124200802738
12,0.05,0.06,1.35087674150932,68.0732029438461,14.2566256521959,10.6659612123026
12,0.05,0.08,1.27831589207558,65.1700063115093,13.1460731426164,9.6382902362397
12,0.075,0,1.60254833535498,77.4085909816948,19.1465099234531,0.515228644581756
12,0.075,0.01,1.55930314987651,75.8836337734298,18.144500650524,11.2719745617551
12,0.075,0.02,1.50870912013701,74.0584856746095,17.0761732717622,10.6659612123026
12,0.075,0.04,1.41737398742919,70.6494088065027,15.366052771981,9.72747223776965
12,0.075,0.06,1.33706563071076,67.5280540278634,14.0378842569796,8.79022516830884
12,0.075,0.08,1.26549923822688,64.6471346318897,12.9591467247671,8.01678063387679
13,0.035,0,1.59086246538611,76.9996712567028,18.8665889510572,0.529663443891658
13,0.035,0.01,1.584140511195,76.7633950493242,18.7087682370838,2.03235701093622
13,0.035,0.02,1.55133190362687,75.5990299026814,17.9693214762983,2.05116217882557
13,0.035,0.04,1.48618756427234,73.2316216902165,16.6309227628303,2.10862814993329
13,0.035,0.06,1.42188404613921,70.8212408712137,15.4450066900725,2.16770410481969
13,0.035,0.08,1.35845333288134,68.3707851678315,14.3782212969086,2.2080047330189
13,0.05,0,1.56820889088151,76.2003042402329,18.3435315070053,2.05116217882557
13,0.05,0.01,1.53548767929603,75.030059381962,17.6290418086876,2.07014134879104
13,0.05,0.02,1.502970162557,73.8486314548252,16.9610795451479,2.08929613085404
13,0.05,0.04,1.43851974588351,71.4518985324562,15.7407406970056,2.14783047413053
