caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalBankError_deg,peakRollRate_degps,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakSideslip_deg,peakYawRate_degps,peakAileronRate_degps
606,1.2,1,1,1,0.8,0.1,3.32,4.64993668591232,11.58,4.40540457748454e-08,3.23177582366334,0.657715930945128,0.108141995222454,0.274623430897271,1.79415278439229,1.21819841670759
607,1.2,1,1,1,1,-0.1,3.28,4.71391094242501,11.54,5.10511245393818e-08,3.3066038790821,0.686409120944871,0.107693171837262,0.253603609292567,1.79507278115567,1.24101485275412
608,1.2,1,1,1,1,0,3.28,4.70936127114611,11.56,5.07071316478081e-08,3.29345574287042,0.675703026159198,0.110326575434674,0.267088285482299,1.79542331115844,1.23938069957532
609,1.2,1,1,1,1,0.1,3.32,4.70465626656806,11.58,5.11325419683952e-08,3.28052843766739,0.665342155758438,0.113020479541853,0.285075289814988,1.79575246460675,1.23631516678213
610,1.2,1,1,1,1.2,-0.1,3.24,4.77150092095025,11.54,5.728109486196e-08,3.34741559301887,0.70105960127978,0.110248164707582,0.254474550393025,1.79686396530302,1.25733589313045
611,1.2,1,1,1,1.2,0,3.28,4.76546061287666,11.56,5.71208760101587e-08,3.33836120186564,0.687797790470442,0.114335407467401,0.27023767324825,1.79725198599311,1.25530505040562
612,1.2,1,1,1,1.2,0.1,3.3,4.75970121815876,11.6,5.80723755194973e-08,3.32943689582547,0.674845116467297,0.118668991276677,0.294268661882085,1.79751871684525,1.2515351782997
613,1.2,1,1,1.2,0.8,-0.1,3.3,3.50210875826761,10.82,3.94045043644554e-07,3.38872577551422,0.582516075250128,0.108020281696145,0.266724260579921,1.77455480283164,1.2006952955891
614,1.2,1,1,1.2,0.8,0,3.3,3.50532393301657,10.84,3.78865879823094e-07,3.37418211164555,0.574883535234837,0.109915149637198,0.27836931500549,1.77488108348413,1.19828226314955
615,1.2,1,1,1.2,0.8,0.1,3.34,3.50830743175612,10.86,3.63784858377439e-07,3.35974376695193,0.567590110568226,0.114422697413434,0.291682300135074,1.77520414410469,1.19405577303319
616,1.2,1,1,1.2,1,-0.1,3.28,3.53908238995544,10.84,3.95339150913903e-07,3.43725297888861,0.595727991638531,0.109038338556005,0.266875924447678,1.77559855905942,1.22120512047747
617,1.2,1,1,1.2,1,0,3.3,3.54324190501903,10.86,3.76679609472544e-07,3.42489206692404,0.585430403139252,0.112038110881338,0.283737075267802,1.77598479720323,1.21925558346878
618,1.2,1,1,1.2,1,0.1,3.32,3.54708023796406,10.88,3.58177823543386e-07,3.41236695044326,0.575481486503432,0.116550093630315,0.303083233569561,1.77636586112554,1.21560240336514
619,1.2,1,1,1.2,1.2,-0.1,3.28,3.57585222869832,10.84,3.96806903746641e-07,3.47981759657549,0.610006185665048,0.111938523747596,0.264743751058581,1.77688819732877,1.23661970804918
620,1.2,1,1,1.2,1.2,0,3.28,3.58137127987233,10.86,3.74785438083385e-07,3.47240280460105,0.597462623707955,0.116559682592251,0.287239920363824,1.7772365764442,1.23499277826986
621,1.2,1,1,1.2,1.2,0.1,3.3,3.58668502192322,10.88,3.52997285189343e-07,3.46447115210986,0.585259809077801,0.121477123001701,0.312996794428135,1.77751887354969,1.23178350278636
622,1.2,1,1.2,0.8,0.8,-0.1,3.32,6.84982421412157,12.42,8.03290478132513e-07,3.02377704808858,0.820319578445418,0.106105094900887,0.261778121537207,1.82962961648616,1.24999492094487
623,1.2,1,1.2,0.8,0.8,0,3.34,6.82666516800621,12.42,8.47096687135192e-07,3.0100534591444,0.814048945795397,0.106941409367665,0.262264676383748,1.82966313446238,1.24765829305724
