caseID,plantCaseID,aileronTau_s,isDynamicStable,neutralHeadingPoleMagnitude,minimumDynamicDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
508,170,0.035,1,0,0.40009132736848,0.404236933234907,1.42376425517971,70.8927683485815,15.4780731747155,0.457088189614875
509,170,0.05,1,0,0.402319689101685,0.401234619865171,1.41721288993386,70.6432642662268,15.3632419657481,0.461317574560379
510,170,0.075,1,0,0.406158349638947,0.396011170909366,1.40042542094201,70.0003977050158,15.0738008600425,1.90546071796325
511,171,0.035,1,0,0.397234037438418,0.387335681976144,1.43546046889649,71.3362939913147,15.6858119474725,0.444631267469109
512,171,0.05,1,0,0.399410945638328,0.384406358176099,1.42920239826648,71.0992904327622,15.5742195814641,0.452897579903621
513,171,0.075,1,0,0.403159650952567,0.379285578398242,1.41541547419651,70.5746760107263,15.3319245305332,1.99526231496888
514,172,0.035,1,0,0.465618209823055,0.571770137077093,1.51559331647862,74.309454673069,17.2157700708302,0.483058802039773
515,172,0.05,1,0,0.468451774695439,0.567626928277699,1.50916786956545,74.075235615171,17.0854231968531,0.492039535681451
516,172,0.075,1,0,0.473341910695666,0.560118241807308,1.49792177262286,73.6635501329372,16.8607740821099,0.510504999975406
517,173,0.035,1,0,0.463406919939367,0.570659349050817,1.52331947446331,74.5901293328774,17.3744922965485,0.474241985260245
518,173,0.05,1,0,0.466211846277826,0.566646173679971,1.51715985232172,74.3664479885442,17.2477746609665,0.483058802039773
519,173,0.075,1,0,0.471052924312667,0.559349620849168,1.50640255328486,73.9742118966902,17.0297773876135,0.496592321450336
520,174,0.035,1,0,0.461220493624197,0.567455115903675,1.53072365958409,74.8581283517482,17.5287013788909,0.465586093522959
521,174,0.05,1,0,0.46399642250356,0.563579641125768,1.52480404660086,74.6439410618379,17.4052448940408,0.474241985260245
522,174,0.075,1,0,0.468787708266104,0.556510488137056,1.51448682157378,74.2691725443759,17.1932179315271,0.487528490103386
523,175,0.035,1,0,0.465914399174769,0.480811744374385,1.50529759578779,73.9338075577501,17.0076174794498,0.492039535681451
524,175,0.05,1,0,0.468790039242748,0.476793976190676,1.49523542532272,73.5648818012478,16.8077513146127,1.92309172891016
525,175,0.075,1,0,0.473755592781186,0.469661679465412,1.427171521153,71.0222267752921,15.5382247799631,1.94088587759278
526,176,0.035,1,0,0.463126280112797,0.472137721628206,1.5152217305595,74.2959294191723,17.2081916063326,0.478630092322638
527,176,0.05,1,0,0.465964560839215,0.468290495404613,1.50892791540019,74.0664748269159,17.0805839901324,0.487528490103386
528,176,0.075,1,0,0.470865990306946,0.461434296209705,1.45456123106047,72.0553379855825,16.0329378229651,2.03235701093622
529,177,0.035,1,0,0.460378374406817,0.461505591565976,1.52462022052528,74.6372799522965,17.4014324714189,0.465586093522959
530,177,0.05,1,0,0.463178800090685,0.457828339334761,1.51862311072056,74.4196450724097,17.2777502947471,0.474241985260245
531,177,0.075,1,0,0.468015069400574,0.451246095292786,1.47993657022051,73.0005338862869,16.510300244331,2.12813904598271
532,178,0.035,1,0,0.466246082727525,0.409295269172604,1.43343065839539,71.2594986115687,15.6495042134975,1.8706821403658
533,178,0.05,1,0,0.469165975309344,0.405628178792776,1.39408718009155,69.7563555845616,14.9662570391553,1.88799134909629
534,178,0.075,1,0,0.474210934161525,0.399190592719911,1.33095246579165,67.2856429291226,13.9422292143875,1.88799134909629
535,179,0.035,1,0,0.462869356398331,0.396223728752614,1.45785540783332,72.1786881177535,16.0938339791786,1.95884467350599
536,179,0.05,1,0,0.465742421457339,0.392709608134054,1.4163679670863,70.6110297830613,15.3485104161325,1.97696964011186
537,179,0.075,1,0,0.470706844007062,0.386511016050712,1.3500370269471,68.0401574083066,14.243219812673,1.97696964011186
538,180,0.035,1,0,0.459552620958504,0.381980432789396,1.47820158311959,72.9362720000911,16.4770398258975,2.05116217882557
539,180,0.05,1,0,0.462378244924527,0.378602350339941,1.43463500767464,71.3050725893018,15.6710335782661,2.05116217882557
540,180,0.075,1,0,0.467260811107486,0.372611605422862,1.36517789443868,68.6340263081088,14.4871197241615,2.07014134879104
