caseID,plantCaseID,aileronTau_s,isStable,minimumDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
604,202,0.035,1,0.124066750163021,0.527455010220214,65.4225302116675,13.2376737158248,0.275422870333817
605,202,0.05,1,0.12408300031374,0.523490375477852,65.4230961101312,13.2378799790041,0.275422870333817
606,202,0.075,1,0.124110125728787,0.516509373582016,65.4233711731057,13.2379802377566,0.277971326775929
607,203,0.035,1,0.124061768335323,0.51527127542952,65.4083611756485,13.2325107241341,0.275422870333817
608,203,0.05,1,0.124078014628077,0.511508684350142,65.4087582521869,13.2326553750776,0.275422870333817
609,203,0.075,1,0.124105133608034,0.504856125230131,65.4091139006258,13.2327849360455,0.277971326775929
610,204,0.035,1,0.124056789842329,0.500977333434465,65.3942463292292,13.2273702514447,0.275422870333817
611,204,0.05,1,0.124073032280018,0.497386546552213,65.394475369596,13.2274536433668,0.275422870333817
612,204,0.075,1,0.124100144829663,0.491006834396322,65.3949139915678,13.2276133444499,0.277971326775929
613,205,0.035,1,0.12399784775798,0.446133568060113,65.3173811350969,13.1994252217836,0.277971326775929
614,205,0.05,1,0.124014143523047,0.4426345291912,65.317588881175,13.199500639716,0.277971326775929
615,205,0.075,1,0.124041345175654,0.436540337958257,65.3179968476711,13.1996487452766,0.277971326775929
616,206,0.035,1,0.123991913871861,0.430325181172905,65.3008988252727,13.1934435542806,0.277971326775929
617,206,0.05,1,0.124008204986735,0.426952971550626,65.300898244901,13.1934433437212,0.277971326775929
618,206,0.075,1,0.124035398882647,0.421047225076365,65.3009576928072,13.193464911498,0.277971326775929
619,207,0.035,1,0.1239859847269,0.41369502636712,65.2844961724096,13.1874945085374,0.277971326775929
620,207,0.05,1,0.124002271195741,0.410410418229346,65.2842884747705,13.1874192028177,0.277971326775929
621,207,0.075,1,0.124029457341873,0.404622261586321,65.2840014251027,13.1873151271087,0.277971326775929
622,208,0.035,1,0.125639762360738,0.628466696823475,66.5440902371931,13.6554979928471,0.270395836410884
623,208,0.05,1,0.125654609831792,0.623316376131389,66.5459298488755,13.6561986468916,0.270395836410884
624,208,0.075,1,0.125679390530932,0.613979487104713,66.5490341485091,13.6573811010041,0.270395836410884
625,209,0.035,1,0.125635523612137,0.626477513241606,66.530155062697,13.650192177508,0.270395836410884
626,209,0.05,1,0.125650368506659,0.6215507471585,66.5318915019891,13.6508531643458,0.270395836410884
627,209,0.075,1,0.125675144909502,0.612593526084193,66.534823412174,13.6519693196375,0.270395836410884
628,210,0.035,1,0.125631287143211,0.620723039081555,66.516246692036,13.6448995304412,0.270395836410884
629,210,0.05,1,0.125646129462661,0.616056251875646,66.5178802563816,13.6455210085262,0.270395836410884
630,210,0.075,1,0.125670901571668,0.607543826989214,66.5206402734503,13.6465711303157,0.270395836410884
631,211,0.035,1,0.12557586144097,0.515948661159978,66.4552934285993,13.6217393887083,0.270395836410884
632,211,0.05,1,0.12559075507135,0.511454300161128,66.4572287834327,13.6224738872041,0.270395836410884
633,211,0.075,1,0.125615612900495,0.503456295501717,66.4604937514521,13.6237131245048,0.270395836410884
634,212,0.035,1,0.125570598035608,0.505899399610911,66.4378921041633,13.6151378605647,0.270395836410884
635,212,0.05,1,0.125585488424519,0.501660895482322,66.4396976088216,13.6158225997834,0.270395836410884
636,212,0.075,1,0.125610340848481,0.494081146609599,66.4427456074456,13.6169786682097,0.270395836410884
637,213,0.035,1,0.125565338151262,0.493731236720959,66.420532814265,13.6085568582414,0.270395836410884
638,213,0.05,1,0.125580225301025,0.489721916204918,66.4222089372646,13.6091920864014,0.270395836410884
639,213,0.075,1,0.125605072323674,0.482512299486046,66.4250407482989,13.6102654015877,0.270395836410884
640,214,0.035,1,0.125512200736971,0.436224829826995,66.3659615774116,13.5878983129431,0.272897778280804
641,214,0.05,1,0.125527140156603,0.432243628589425,66.3676920027877,13.5885526939375,0.272897778280804
642,214,0.075,1,0.125552074497983,0.425227623365709,66.3706174364852,13.5896590843134,0.272897778280804
643,215,0.035,1,0.125505926317344,0.422927128879473,66.3451573107871,13.5800344648392,0.270395836410884
