caseID,sideForceScale,rollMomentScale,yawMomentScale,rudderEffectivenessScale,inertiaScale,IxzNormalized,initialYawRateIntegralRatio,initialBetaIntegralRatio,peakInitialActuatorPosition_deg,peakInitialActuatorRate_degps
386,1,1,1.2,0.8,1.2,0,0.764031384890668,0.656862107813721,0.991687933261537,14.5039954861969
387,1,1,1.2,0.8,1.2,0.1,0.723528981553323,0.613625355558849,1.00120451824055,14.5389476951227
388,1,1,1.2,1,0.8,-0.1,0.751772156197034,0.706922254366294,0.907166373804162,14.2516929509632
389,1,1,1.2,1,0.8,0,0.724630610935697,0.670039283719413,0.919408826472864,14.3110977150561
390,1,1,1.2,1,0.8,0.1,0.695967590375608,0.634966849895469,0.929954837772872,14.360886769739
391,1,1,1.2,1,1,-0.1,0.761351524047269,0.69119052229803,0.944655626509216,14.373612184259
392,1,1,1.2,1,1,0,0.731065708069541,0.64829785951071,0.956110446479042,14.4227562887213
393,1,1,1.2,1,1,0.1,0.695690023479421,0.605950152728984,0.965525889688639,14.463929727629
394,1,1,1.2,1,1.2,-0.1,0.770487680205988,0.678445453798395,0.970872908661994,14.4556116458741
395,1,1,1.2,1,1.2,0,0.736257055651999,0.629267827304026,0.982548484648638,14.4974956353602
396,1,1,1.2,1,1.2,0.1,0.695294157128791,0.581009525991538,0.992165609665341,14.5325774430704
397,1,1,1.2,1.2,0.8,-0.1,0.726981006282202,0.690845390890115,0.898659888857863,14.2416546887238
398,1,1,1.2,1.2,0.8,0,0.699258656711688,0.653516141912554,0.910089020343187,14.3014161782487
399,1,1,1.2,1.2,0.8,0.1,0.6700818949511,0.618157211051626,0.919457040446647,14.351387238202
400,1,1,1.2,1.2,1,-0.1,0.736830119663102,0.674107179937646,0.935774940194186,14.3655396184818
401,1,1,1.2,1.2,1,0,0.705915294274433,0.63092808541806,0.947437087195725,14.4149787266269
402,1,1,1.2,1.2,1,0.1,0.670108387579395,0.588563549943098,0.956942996382974,14.4563036405275
403,1,1,1.2,1.2,1.2,-0.1,0.746581539051659,0.661355558484847,0.963334294041395,14.4488610325029
404,1,1,1.2,1.2,1.2,0,0.71173835697599,0.612125177979129,0.973819362326491,14.4909963430595
405,1,1,1.2,1.2,1.2,0.1,0.670501990789631,0.562511664177533,0.983159721869014,14.5262077261506
406,1,1.2,0.8,0.8,0.8,-0.1,0.749687328499388,0.670821449657697,0.959142452606621,14.4226971226128
407,1,1.2,0.8,0.8,0.8,0,0.71962047847945,0.625989929749243,0.972986720956214,14.4896362953521
408,1,1.2,0.8,0.8,0.8,0.1,0.68209727858773,0.577605829696135,0.986204546884713,14.5502760801891
409,1,1.2,0.8,0.8,1,-0.1,0.765208177187797,0.659505610973277,0.990511538563634,14.5107806809954
410,1,1.2,0.8,0.8,1,0,0.730183809223384,0.606225131288857,1.00452096370537,14.5663487744977
411,1,1.2,0.8,0.8,1,0.1,0.684478550350412,0.551700055076561,1.01699714719248,14.6166617132757
412,1,1.2,0.8,0.8,1.2,-0.1,0.779062556584693,0.656975801523262,1.01357500181671,14.5701076196316
413,1,1.2,0.8,0.8,1.2,0,0.739410283391078,0.599678685799391,1.02629958513121,14.617579523771
414,1,1.2,0.8,0.8,1.2,0.1,0.686282681334922,0.537442217420794,1.03875718034282,14.6605468421483
415,1,1.2,0.8,1,0.8,-0.1,0.717784196591837,0.64951928100929,0.947977590351743,14.4125997854293
416,1,1.2,0.8,1,0.8,0,0.687300657898224,0.604599554329723,0.962010560602999,14.4798868459292
417,1,1.2,0.8,1,0.8,0.1,0.649738932016873,0.556502656882593,0.974420664680935,14.5407003715356
418,1,1.2,0.8,1,1,-0.1,0.734203943085969,0.638036412972116,0.979210506997901,14.5026700380182
419,1,1.2,0.8,1,1,0,0.698777105478749,0.583493119079168,0.993429786299849,14.5585272680936
420,1,1.2,0.8,1,1,0.1,0.653213431917149,0.5253950843791,1.00597580042203,14.6089862206987
421,1,1.2,0.8,1,1.2,-0.1,0.749098459911862,0.630030841870897,1.00400552637243,14.5633303687553
422,1,1.2,0.8,1,1.2,0,0.709104926946171,0.569591740912457,1.01693608510606,14.6110494117771
423,1,1.2,0.8,1,1.2,0.1,0.656295590233732,0.505881914304251,1.02833434842886,14.654142422737
424,1,1.2,0.8,1.2,0.8,-0.1,0.690342279022821,0.632909725965295,0.936864769805212,14.4025038048181
425,1,1.2,0.8,1.2,0.8,0,0.659743184423205,0.588074603136977,0.951083618742681,14.4701386533726
426,1,1.2,0.8,1.2,0.8,0.1,0.622399619800949,0.540292646039325,0.963549117561109,14.5311258698256
427,1,1.2,0.8,1.2,1,-0.1,0.707082432356221,0.620409611423564,0.96946793256139,14.4945602664737
428,1,1.2,0.8,1.2,1,0,0.671522035406271,0.566172966964949,0.982388301053742,14.5507065679779
429,1,1.2,0.8,1.2,1,0.1,0.626290564224217,0.508702958390428,0.995002771202051,14.6013115016803
430,1,1.2,0.8,1.2,1.2,-0.1,0.722565677635743,0.611893703349622,0.994473126186299,14.5565537245461
431,1,1.2,0.8,1.2,1.2,0,0.682441168722828,0.54910994615772,1.00760744085915,14.6045198605826
432,1,1.2,0.8,1.2,1.2,0.1,0.630118614173794,0.484466443273311,1.01908318496691,14.6477385410282
433,1,1.2,1,0.8,0.8,-0.1,0.766236647468128,0.702513190583628,0.937373537076219,14.3372476795897
434,1,1.2,1,0.8,0.8,0,0.739145277540099,0.663419634536891,0.951071533740619,14.4045862162797
435,1,1.2,1,0.8,0.8,0.1,0.708139627967762,0.624269648797336,0.963045721011803,14.4641992371173
436,1,1.2,1,0.8,1,-0.1,0.778230405707247,0.689046185176597,0.969885650681662,14.4420753456422
437,1,1.2,1,0.8,1,0,0.747269220941275,0.642705996903207,0.983779551449184,14.4980313429439
438,1,1.2,1,0.8,1,0.1,0.708552144012029,0.595738749515339,0.995903423163584,14.5475437134585
439,1,1.2,1,0.8,1.2,-0.1,0.789186163879195,0.681143587978559,0.99604621125379,14.5126617836954
440,1,1.2,1,0.8,1.2,0,0.753850484740314,0.632740883605465,1.00870736831328,14.5604966562274
441,1,1.2,1,0.8,1.2,0.1,0.708538979638977,0.58216326074087,1.0197430715364,14.6028091303349
442,1,1.2,1,1,0.8,-0.1,0.735890156788905,0.681469221768353,0.926387089773008,14.3271847913029
443,1,1.2,1,1,0.8,0,0.70814807192057,0.641969261964972,0.940271429004966,14.3948703324376
444,1,1.2,1,1,0.8,0.1,0.676660359816827,0.602674522110735,0.952304913116057,14.4546574369354
445,1,1.2,1,1,1,-0.1,0.748808454869551,0.667968483537291,0.960795731248691,14.4339869863749
446,1,1.2,1,1,1,0,0.717166642311855,0.621516979248102,0.973331471509426,14.490231530526
447,1,1.2,1,1,1,0.1,0.678185938635865,0.572346747563953,0.98504564754093,14.539890128542
448,1,1.2,1,1,1.2,-0.1,0.760824599004822,0.6576164918657,0.986592759064098,14.5059001575333
449,1,1.2,1,1,1.2,0,0.724905616905563,0.603385051526197,0.999457884873563,14.5539817474646
